outcome,GUCA2B,GLP2R,SCGN,SLC4A4,CHGA,CA2,GCNT2,PLP1,PYY,CA1,PKIB,ABCA8,RSPO2,BMP3,SLC25A34,CADM3,CLEC3B,MAMDC2,TMEM100,GFRA2,CA7,VSTM2A,HPSE2,GREM2,TMIGD1,OTOP2,GUCA2A,ELANE,LINC00974,UGT1A8,SPIB,NFE2L3,CDH3,TRIB3,CEMIP,WNT2,MTHFD1L,SLC6A6,KLHL35,CLDN1,TMEM41A,KRT80,ENC1,FUT1,CPNE7,LOC101929705,PVT1
1,5.836817842,4.766806831,3.876904085,8.118201827,8.73105148,10.14042806,4.797763104,3.071064937,7.428083041,6.234244447,9.278444455,4.943112887,3.18021979,6.200244541,5.596162145,3.457648076,5.389804049,3.75162886,7.388423281,4.565221939,6.674637772,3.18021979,4.452378497,5.866057276,6.508724241,3.6130619,10.0109714,1.575079433,2.463883361,4.600896674,5.023656868,11.97135417,10.55505745,12.31685517,10.87315368,6.778058681,10.63875661,11.11552862,5.97739985,11.426625,9.825787862,10.48276966,11.79399877,8.551967259,10.20247535,7.017937607,7.863682669
1,1.575079433,4.956819344,1.575079433,7.033360433,2.67374807,6.325259042,4.956819344,3.644001319,3.400185423,3.644001319,6.036848769,5.911792516,2.67374807,5.453890917,5.117391596,4.323392641,5.867563755,4.026152532,4.675568788,3.095329905,3.848832007,1.575079433,2.67374807,5.392642669,1.575079433,1.575079433,5.774793906,1.575079433,3.095329905,3.400185423,6.646032393,12.04783195,10.11178154,11.03622246,13.44957041,8.261637385,10.49195853,12.80509405,6.841304933,11.83235076,10.73386603,11.03995427,12.26639925,8.099419607,9.208408392,6.223762095,9.856422434
1,2.649474782,5.302820348,2.343359042,4.697504429,2.510701323,7.273346373,4.697504429,2.510701323,2.649474782,3.222414213,8.724256551,4.306318186,3.804772769,5.702444962,4.097573725,2.973991412,5.985254475,3.42720685,4.338220379,4.059451876,4.134654434,2.121505184,6.21302899,9.080684907,3.222414213,2.121505184,5.380183941,2.876936418,1.575079433,2.121505184,2.769808336,12.03678341,11.79462086,10.41382531,12.40023551,7.164412167,9.898678184,11.4468938,6.983823115,11.78439614,10.05526766,10.44325757,13.5028375,8.098626948,10.16097835,5.186936004,9.804815955
1,1.575079433,3.118182479,2.229875762,4.712882706,2.853683454,6.637023542,6.039247238,3.426654496,3.332389223,2.229875762,5.391003861,5.800914431,2.690955376,2.229875762,5.182270456,5.182270456,5.534575511,4.216739116,4.604405106,4.312750264,3.23015185,1.575079433,2.229875762,4.907576018,1.575079433,2.229875762,2.853683454,2.493483824,1.575079433,2.690955376,4.113489821,12.09458136,11.79384199,10.86958675,13.47939577,6.543460237,11.39482828,11.41641084,8.176915761,11.14607668,10.0188034,11.00461394,12.43985978,7.441843727,9.743125733,6.278894078,9.980083196
1,7.058634355,4.801578284,3.954075311,9.355714588,9.399577787,12.06321983,5.763821442,5.251181239,7.143670378,8.570221888,9.076495439,5.592377659,3.954075311,7.715539087,5.763821442,3.742631011,6.741475255,5.397572712,4.801578284,4.572178207,5.651834269,4.801578284,4.998816886,5.916938971,6.713922904,1.575079433,9.981750225,1.575079433,1.575079433,5.088010324,7.164167993,12.67610487,10.98903289,11.43708795,9.691882355,8.175310251,10.34692239,9.608368791,6.795047645,11.30608824,10.53762258,6.944758253,12.285228,6.181478691,8.416445141,3.954075311,7.53848363
1,3.191830009,6.13258427,4.435000845,6.205509996,5.481178518,7.137267466,6.07813221,5.950537823,2.414531304,3.362257757,5.609855833,7.566494442,4.36260449,6.377634866,5.578754801,6.404421826,6.174707901,7.06081166,5.850060213,5.243694203,4.569380496,2.172786771,3.877031578,6.594734659,4.662309466,2.172786771,6.331851105,3.280082631,2.596304067,3.280082631,5.282902633,11.80398325,11.68537123,12.58315294,9.914626058,8.429164295,11.18839709,11.51324237,7.647131972,10.03579147,10.29900923,10.6132578,12.43991139,6.8882299,6.748944364,5.670102188,8.904067086
1,2.916508223,4.866595272,2.540063057,4.642243868,3.414152609,6.560820173,4.374992644,3.414152609,3.414152609,2.540063057,5.867370484,4.99852055,2.540063057,5.230445491,5.563013523,3.602342467,5.382541738,4.934094295,4.043376098,3.912034444,5.282967192,1.575079433,3.602342467,5.901246043,1.575079433,3.414152609,4.934094295,1.575079433,1.575079433,4.469887971,4.273109521,11.82435795,11.10428226,11.94113414,12.80292635,7.970377907,10.26319472,11.38514162,7.863005984,11.63275848,10.73776967,9.932426961,11.53390969,7.801699012,10.24686148,4.721068857,8.75041478
1,1.575079433,4.881364389,4.858531116,5.582248602,5.511292391,8.316261408,5.662999572,7.096792481,2.802515999,2.365096963,4.835322686,7.435278062,4.399890888,6.773284315,4.522098889,7.721791143,7.527720477,7.260941458,5.739441086,5.257197475,2.912214967,3.102575883,4.738470747,7.299215813,2.365096963,1.575079433,3.186840963,3.339108859,1.575079433,3.102575883,8.533343382,11.91354067,12.40224246,11.27856351,12.30661633,8.859219378,11.33336594,12.33118774,6.339163666,11.74763516,10.40040776,11.38393906,14.19323477,7.836103702,7.795035183,4.763314935,8.666151749
1,4.771888597,3.969437101,3.855665181,7.584628396,7.576022443,11.15670343,5.652366825,3.439287285,3.731196395,6.533049887,7.549892055,3.855665181,3.439287285,6.585481717,4.888894389,2.800675664,4.262500365,3.439287285,2.800675664,2.454331615,4.996951766,2.454331615,3.969437101,4.771888597,6.585481717,3.855665181,9.460379669,1.575079433,3.593574381,5.321133473,7.025691752,11.49009518,11.58212312,11.9352677,11.663564,6.86536775,10.7674511,12.56938754,7.332079491,10.46597356,10.01764983,10.41983971,12.18696002,8.642803702,7.973367477,5.145012004,8.151885541
1,5.8376555,4.797868165,3.745284521,8.184770611,8.380124885,10.29705166,5.678654742,3.222681593,5.482355136,6.799001167,7.282896172,5.464713368,4.020582353,5.213015197,4.515989094,3.222681593,5.499781899,4.853513881,5.550823436,5.373082157,5.95579706,3.745284521,4.249025618,5.334717655,5.980780989,3.96988216,8.51423381,2.616966321,1.575079433,4.330698135,5.616164947,11.95851429,10.31124733,10.46380354,12.76154829,8.605216599,10.65693234,12.4613139,5.8376555,11.58305859,9.442081376,9.874133375,11.56565803,8.535421383,7.854699223,6.460642668,7.644541873
1,2.996426147,4.669963308,3.517401837,6.244620382,2.417277487,10.30805856,4.785150657,3.517401837,2.417277487,3.651250286,7.209025921,3.772489402,2.750343755,2.750343755,3.367599819,2.417277487,4.16994918,3.517401837,3.367599819,3.196760317,4.081033799,3.196760317,4.839394029,5.858800269,3.196760317,1.575079433,6.729974435,1.575079433,1.575079433,5.72233162,5.959338819,12.61546241,11.66588912,12.53395629,12.67750617,6.9893154,11.72361918,10.85622424,5.750683976,12.39117572,10.21856543,10.43213335,12.31987018,8.727080271,7.527687067,5.633745633,8.723519508
1,5.844747625,5.78831268,6.517361599,9.19834575,10.88676871,11.31858312,7.047760678,3.408635056,9.246139604,7.804618091,7.832721238,6.665454877,3.408635056,4.601760138,5.872153974,4.307520384,5.729565971,4.787804685,5.274555905,5.604315032,7.36894273,4.132993046,4.899446578,5.816807632,7.978201804,5.759240142,10.92560843,2.779111153,2.43844164,5.699264576,5.668308689,11.62460043,10.19780536,9.733506658,10.14415752,7.406829701,10.53145818,10.23117454,7.406829701,8.967555823,10.31821759,10.18968059,13.71638713,7.397450885,10.22721075,4.899446578,8.813927939
1,5.029806817,1.575079433,5.172575865,8.838784148,6.913529502,10.06567114,4.487109081,4.692157823,3.954589215,7.857261514,10.20409799,4.871045733,4.871045733,7.918885306,5.172575865,1.575079433,4.487109081,4.246538205,4.487109081,1.575079433,5.817379422,1.575079433,3.045512484,4.692157823,5.980768091,3.954589215,9.647241407,1.575079433,1.575079433,3.045512484,5.029806817,12.36374366,11.81693701,11.28867727,10.70153894,6.742192633,10.23268636,10.30369895,6.786974727,9.887072014,10.62041052,10.48437854,12.10011199,9.321910544,9.712489779,5.817379422,8.159129661
