outcome,KRT80,SCGN,CDH3,CEMIP,BEST4,ESM1,GLP2R,OTOP2,SCARA5,ETV4,BMP3,INHBA,WNT2,TMIGD1,VSTM2A,ASPA,PCSK2,CPNE7,IL6R,LEC3B,TMEM220,GLTP,LGI1,ENPP6,SLC51B,SLC25A34,PYY,CA7,RXRG,METTL7A,SGCG,ETFDH,HPSE2,PRKG2,SLC4A4,GFRA2,CDKN2B-AS1,FAM135B,FOXQ1,TSPAN7,ABCA8,LINC00974,LINC00682,RERGL,C2orf88,LPAR1,GCG,CLDN1,GRIN2D,RDH5,OTOP3,SLC30A10,SLC25A23,TMEM100,TMEM253,GUCA2A,PLP1,SPIB,CADM3,PLPP1,KRT24
1,10.82097359,4.365551213,11.42238137,11.33375483,4.365551213,6.528576462,4.365551213,2.132288707,7.010958389,11.96550479,6.528576462,10.98896713,9.135476452,2.930864238,2.930864238,3.517722776,3.258029719,8.416510455,8.405145946,6.807234537,7.088811147,10.49804282,2.474032697,3.105281848,7.53361583,6.623216426,4.161118233,5.130400031,3.394358863,10.48190686,3.105281848,9.237247692,5.750888874,5.01491463,4.974245404,4.161118233,3.105281848,2.474032697,11.44429111,7.994333683,6.569899871,1.265924001,1.265924001,4.300670708,6.350299618,7.968828481,5.166909859,11.93356223,9.949335796,5.237246758,1.265924001,1.265924001,11.75186364,4.300670708,6.052704746,5.7266982,4.005988118,5.702093242,5.429632239,9.882617019,2.132288707
1,10.86012322,3.544236404,11.43077403,11.02189674,6.147649472,7.530636506,5.190230572,2.275051418,6.734156574,11.46432038,4.80135706,10.05958902,7.884939277,5.9326506,2.952022904,3.375620383,1.265924001,9.954827718,8.545442861,5.28432797,6.44031013,9.41192024,1.265924001,3.375620383,7.059915657,4.863838015,6.460539741,5.140754087,2.952022904,10.44029681,1.265924001,8.596574601,4.923690775,3.375620383,8.982895232,5.45578721,6.767007198,3.950820812,10.7266959,7.099137617,5.036345085,1.265924001,1.265924001,1.265924001,7.784272528,8.047459494,5.679762328,11.98620964,9.868579574,4.923690775,1.265924001,4.981130072,10.32512894,4.595502567,4.80135706,8.281364547,1.265924001,4.863838015,2.952022904,8.457654397,1.265924001
1,8.371558141,1.265924001,12.28076999,11.83656716,3.123634816,8.716439662,5.710246692,2.00934488,7.889884194,12.92612986,2.708427064,9.016561275,7.045102458,1.265924001,3.000718585,2.863786232,1.265924001,9.987778572,8.435525858,5.538083205,6.442908385,10.22816558,1.265924001,3.605036799,7.329092421,5.031388597,2.306263164,3.123634816,2.527298362,10.43756019,1.265924001,9.515774763,3.827253221,1.265924001,4.778600893,4.972270953,3.000718585,2.708427064,9.677478811,6.410034142,4.470851885,1.265924001,1.265924001,1.265924001,7.765540375,6.398907191,1.265924001,11.38134894,10.53218175,5.432686708,1.265924001,1.265924001,11.27552943,3.000718585,5.880075792,5.578165417,2.00934488,5.1427503,2.527298362,8.659347731,1.265924001
1,10.88998653,4.670849789,11.96806313,12.00763507,6.216528382,6.888657736,3.773031676,5.344964628,6.816187534,9.585774358,6.216528382,10.42319252,7.754885601,4.968883423,4.377037375,3.773031676,3.327119674,7.23838931,9.254078995,5.463906596,6.325028082,9.790588064,2.249011933,3.327119674,5.997885657,5.344964628,4.60292536,5.860331156,2.911200237,9.106981137,2.631700219,9.334082075,3.493029992,4.670849789,7.501268773,5.303017374,4.004926779,1.265924001,11.14192906,7.249437846,5.888914768,2.631700219,1.265924001,3.493029992,7.473270486,7.963813716,3.327119674,11.88727514,10.68253609,6.845614263,7.216034981,5.121735027,11.49737848,4.203364621,6.3457804,7.510482034,4.60292536,5.831167736,6.260914077,8.796488516,3.136542839
1,12.03765198,5.213018283,10.17235854,12.2061333,5.140837524,7.799851362,3.987162506,1.979668828,4.899430799,11.30466613,7.201009978,12.41969505,8.786288749,5.140837524,2.478779265,5.064816863,3.987162506,8.507844925,8.764533085,6.351000191,6.193978623,10.15041299,2.804305205,3.87047691,5.064816863,4.194551246,4.194551246,3.525548057,3.165196427,10.40618628,2.653868568,8.333434044,5.038550043,4.33204213,6.443592749,5.671012029,4.241900324,3.357912811,12.01395983,8.676193281,6.521180247,2.653868568,2.265522068,3.165196427,6.453522808,9.047697353,3.357912811,12.39609346,9.566207303,4.145536826,1.265924001,2.478779265,11.39110081,5.140837524,3.056477796,7.383394513,5.83210673,6.621468465,7.357200151,9.791213133,1.265924001
1,8.009925912,2.569141847,9.771428687,9.509976522,4.485200363,8.330039251,6.103452457,1.265924001,6.308632096,10.38918667,6.662859202,11.25274541,6.983339313,3.899088125,4.845581501,5.217043158,2.569141847,6.586077603,8.301521611,3.899088125,7.467030275,10.31741751,2.569141847,5.08880221,6.858342605,4.676816376,1.265924001,6.346379078,3.543704786,10.73761615,3.239694698,9.499553384,5.727570842,4.552000599,8.380900908,5.334728249,5.371901383,5.132839971,6.871341431,8.044755733,6.791529731,2.837926572,2.202554348,2.202554348,10.49686199,9.043176104,2.202554348,11.19900347,8.898350953,6.721468569,2.202554348,3.400572772,9.231306352,4.552000599,5.371901383,6.749903011,4.735328712,4.415076691,1.265924001,9.732793849,2.837926572
1,8.884276503,2.371430754,10.70919738,11.60954178,2.604702176,9.540288717,4.028160949,1.265924001,5.84143174,11.46192342,3.229905854,13.11332323,10.04022238,7.298962504,2.056955419,4.619914459,1.265924001,8.202731438,8.386529214,7.827585606,6.989509242,10.58798514,1.265924001,2.795260557,7.962337447,5.357216103,2.371430754,4.328281686,2.958254051,10.99247923,2.795260557,8.974205941,2.604702176,6.000459303,8.608261746,5.803569848,3.729982103,2.371430754,5.099780015,8.731632915,3.729982103,1.265924001,1.265924001,1.265924001,7.945081438,8.619182028,1.265924001,8.718998706,9.366492439,6.065861713,2.604702176,2.056955419,10.14594196,3.959476777,6.287632811,6.418523049,2.795260557,4.705124259,5.458285369,10.14026754,1.265924001
1,11.35054967,1.265924001,11.56292371,12.97863425,6.344906941,8.839784871,4.473379892,3.002409629,6.445881914,12.14743413,1.265924001,8.997685216,8.05435556,1.265924001,2.52859138,1.265924001,1.265924001,12.0842808,9.078472476,5.520443548,6.413003885,9.678300661,1.265924001,3.340091702,5.800550346,4.815413106,1.265924001,6.628796579,3.340091702,9.667895146,1.265924001,9.134967402,3.002409629,5.457210657,3.340091702,3.607142729,3.607142729,1.265924001,11.30539115,10.18339641,3.340091702,1.265924001,2.52859138,3.002409629,8.02203772,7.171150443,1.265924001,12.37076699,11.32097058,5.990959141,1.265924001,4.473379892,11.2248658,4.020554708,3.607142729,6.982449601,4.188356056,3.002409629,2.52859138,9.636220568,1.265924001
1,7.931677914,3.528870828,11.21722066,10.00478368,3.834771838,7.658687076,3.965218733,3.241717806,5.040520258,9.027040131,3.528870828,11.47724279,7.775886249,4.521753737,3.344676084,3.612129654,2.531654869,9.32650386,9.456425858,4.752433031,6.40889932,10.38209464,1.265924001,3.006415257,4.919610517,3.006415257,1.265924001,4.194060348,1.265924001,9.298150028,2.012015697,9.360097639,3.006415257,4.919610517,8.437771413,3.690499239,5.374931863,3.901547585,2.531654869,7.620622235,4.855077479,1.265924001,1.265924001,1.265924001,8.08280822,9.571872988,5.997852553,9.847877552,6.597181081,4.787477985,1.265924001,3.612129654,9.327980841,4.479364139,3.344676084,6.485070472,2.531654869,6.179203276,2.012015697,8.600605779,1.265924001
1,9.712691481,6.903010332,12.67940073,11.63739164,5.662832843,7.740997729,5.726976047,1.265924001,9.643899025,10.37573669,3.483840057,9.034030334,9.78963564,1.265924001,1.265924001,3.128453566,1.265924001,8.693131357,7.310714089,7.99607619,6.373004116,10.41997283,2.625450973,3.763091114,6.524867165,6.373004116,1.265924001,3.763091114,3.99443674,10.6581523,2.625450973,8.120444377,4.6591071,4.36579192,8.245900455,6.332397684,3.128453566,1.265924001,11.96636122,10.80438002,4.6591071,1.265924001,1.265924001,1.265924001,7.505803866,6.488375762,1.265924001,10.38320422,7.505803866,8.514245547,1.265924001,3.763091114,11.58330774,5.202777563,7.133088299,9.932209273,3.763091114,3.99443674,5.903831165,11.2216916,1.265924001
